,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume
17,17.0,17.0,17.0,2018-09-18,7440.859863,7531.200195,7436.529785,7494.399902,7494.399902,2328260000
18,18.0,18.0,18.0,2018-09-19,7498.240234,7513.339844,7441.560059,7490.319824,7490.319824,2167720000
19,19.0,19.0,19.0,2018-09-20,7534.02002,7582.430176,7523.870117,7569.029785,7569.029785,2306580000
20,20.0,20.0,20.0,2018-09-21,7587.390137,7603.859863,7522.120117,7531.069824,7531.069824,3729890000
21,21.0,21.0,21.0,2018-09-24,7477.450195,7554.950195,7447.22998,7548.75,7548.75,2433260000
22,22.0,22.0,22.0,2018-09-25,7552.02002,7568.169922,7525.189941,7563.189941,7563.189941,2328660000
23,23.0,23.0,23.0,2018-09-26,7563.959961,7637.620117,7553.259766,7563.089844,7563.089844,2342370000
24,24.0,24.0,24.0,2018-09-27,7600.350098,7657.799805,7596.959961,7629.569824,7629.569824,2073930000
25,25.0,25.0,25.0,2018-09-28,7612.649902,7649.299805,7598.689941,7627.649902,7627.649902,2342120000
26,26.0,26.0,26.0,2018-10-01,7673.0,7700.560059,7627.470215,7645.450195,7645.450195,2299520000
27,27.0,27.0,27.0,2018-10-02,7632.370117,7685.359863,7610.25,7628.279785,7628.279785,2416800000
28,28.0,28.0,28.0,2018-10-03,7663.089844,7676.899902,7625.600098,7637.430176,7637.430176,3095630000
29,29.0,29.0,29.0,2018-10-04,7603.009766,7608.240234,7436.259766,7490.0,7490.0,3302690000
30,30.0,30.0,30.0,2018-10-05,7482.040039,7510.450195,7327.439941,7399.009766,7399.009766,2699370000
31,31.0,31.0,31.0,2018-10-08,7356.540039,7415.540039,7267.02002,7352.819824,7352.819824,2259300000
32,32.0,32.0,32.0,2018-10-09,7352.439941,7430.359863,7339.859863,7371.620117,7371.620117,2466440000
33,33.0,33.0,33.0,2018-10-10,7319.810059,7329.240234,7042.060059,7044.5,7044.5,3111680000
34,34.0,34.0,34.0,2018-10-11,7013.47998,7120.100098,6892.890137,6964.029785,6964.029785,3154520000
35,35.0,35.0,35.0,2018-10-12,7150.209961,7179.040039,7019.890137,7157.209961,7157.209961,2674210000
36,36.0,36.0,36.0,2018-10-15,7129.310059,7144.160156,7047.470215,7068.669922,7068.669922,2167000000
37,37.0,37.0,37.0,2018-10-16,7141.669922,7291.259766,7133.290039,7276.430176,7276.430176,2639760000
38,38.0,38.0,38.0,2018-10-17,7310.0,7311.850098,7205.759766,7278.629883,7278.629883,2385070000
39,39.0,39.0,39.0,2018-10-18,7250.919922,7251.540039,7081.890137,7116.089844,7116.089844,2567980000
40,40.0,40.0,40.0,2018-10-19,7169.450195,7227.959961,7080.740234,7107.22998,7107.22998,2547790000
41,41.0,41.0,41.0,2018-10-22,7146.029785,7193.720215,7088.899902,7141.209961,7141.209961,2301010000
42,42.0,42.0,42.0,2018-10-23,7002.689941,7149.129883,6933.560059,7118.669922,7118.669922,2752010000
43,43.0,43.0,43.0,2018-10-24,7101.850098,7117.339844,6777.470215,6789.149902,6789.149902,2959560000
44,44.0,44.0,44.0,2018-10-25,6891.27002,7063.919922,6866.75,7016.390137,7016.390137,2788090000
45,45.0,45.0,45.0,2018-10-26,6804.689941,6976.939941,6743.779785,6852.399902,6852.399902,2971530000
46,46.0,46.0,46.0,2018-10-29,6954.689941,6973.189941,6574.75,6713.899902,6713.899902,2711900000
47,47.0,47.0,47.0,2018-10-30,6673.839844,6816.27002,6652.529785,6810.120117,6810.120117,2699220000
48,48.0,48.0,48.0,2018-10-31,6933.109863,7030.509766,6924.089844,6967.100098,6967.100098,2918880000
49,49.0,49.0,49.0,2018-11-01,6980.790039,7071.839844,6932.209961,7069.169922,7069.169922,2728760000
50,50.0,50.0,50.0,2018-11-02,7042.299805,7085.27002,6909.069824,6965.290039,6965.290039,2899670000
51,51.0,51.0,51.0,2018-11-05,6946.149902,6952.930176,6859.799805,6937.089844,6937.089844,2186310000
52,52.0,52.0,52.0,2018-11-06,6939.129883,7024.779785,6928.0,6988.850098,6988.850098,2300920000
53,53.0,53.0,53.0,2018-11-07,7068.5,7205.959961,7057.709961,7203.129883,7203.129883,2687410000
54,54.0,54.0,54.0,2018-11-08,7176.189941,7192.319824,7125.140137,7158.589844,7158.589844,2475160000
55,55.0,55.0,55.0,2018-11-09,7095.450195,7104.390137,6982.890137,7039.149902,7039.149902,2426750000
56,56.0,56.0,56.0,2018-11-12,6990.370117,6998.799805,6819.379883,6829.100098,6829.100098,2305340000
57,57.0,57.0,57.0,2018-11-13,6858.589844,6951.439941,6811.680176,6830.910156,6830.910156,2361240000
58,58.0,58.0,58.0,2018-11-14,6896.200195,6916.100098,6736.180176,6769.870117,6769.870117,2566210000
59,59.0,59.0,59.0,2018-11-15,6750.629883,6908.830078,6702.419922,6890.450195,6890.450195,2523500000
60,60.0,60.0,60.0,2018-11-16,6823.029785,6898.129883,6797.430176,6867.02002,6867.02002,2466980000
61,61.0,61.0,61.0,2018-11-19,6832.25,6841.439941,6623.370117,6642.919922,6642.919922,2381430000
62,62.0,62.0,62.0,2018-11-20,6475.680176,6614.009766,6442.359863,6526.959961,6526.959961,2672250000
63,63.0,63.0,63.0,2018-11-21,6608.120117,6639.370117,6566.310059,6575.660156,6575.660156,1867840000
64,64.0,64.0,64.0,2018-11-23,6525.02002,6591.560059,6524.549805,6527.350098,6527.350098,958950000
65,65.0,65.0,65.0,2018-11-26,6616.790039,6679.910156,6590.890137,6678.339844,6678.339844,2036910000
66,66.0,66.0,66.0,2018-11-27,6639.390137,6715.410156,6609.080078,6701.040039,6701.040039,2076790000
67,67.0,67.0,67.0,2018-11-28,6756.129883,6914.790039,6713.290039,6913.330078,6913.330078,2413120000
68,68.0,68.0,68.0,2018-11-29,6890.839844,6938.02002,6839.450195,6892.399902,6892.399902,2018190000
