Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_5,Close_Lag_4,Close_Lag_3,Close_Lag_2,Close_Lag_1,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram
2023-10-27,5,14245.75,14321.040039,14130.370117,14180.419922,14180.419922,4172100000,65.33007800000087,190.66992199999913,-0.004585934612077347,-0.013313971714397434,0,-155.08984400000008,0,-134.87001950000013,4576370000.0,135.56397402374537,155.08984400000008,0,0.9116614259773576,14100,14560.879883,14604.849609,14745.860352,14381.639648,14109.570313,14832.993360242916,15121.77338758971,-288.78002734679467,-160.59294300612197,-128.1870843406727
2023-10-26,4,14314.009766,14372.509766,14058.330078,14109.570313,14109.570313,4894900000,204.43945299999905,314.17968799999835,-0.014282472650368251,-0.021859765142983614,0,-70.84960899999896,0,-107.8330077999999,4534463000.0,115.28068694822359,70.84960899999896,0,1.079488353968265,14100,14783.129883,14560.879883,14604.849609,14745.860352,14381.639648,14721.697506820929,15046.795382064547,-325.09787524361855,-193.4939294536213,-131.60394578999725
2023-10-25,3,14642.080078,14643.69043,14362.240234,14381.639648,14381.639648,4599850000,260.44043000000056,281.4501959999998,-0.017787119631405182,-0.019219895240574256,1,272.06933500000014,0,-93.16005860000004,4525893000.0,151.807622551175,272.06933500000014,1,1.016340863559965,14300,14909.259766,14783.129883,14560.879883,14604.849609,14745.860352,14669.380913156168,14997.524586948655,-328.1436737924869,-220.4238783213944,-107.71979547109248
2023-10-24,2,14678.410156,14774.160156,14610.330078,14745.860352,14745.860352,4604720000,-67.45019599999978,163.83007799999905,0.004595197659906553,-0.011088960473564738,1,364.2207039999994,0,-55.01591790000002,4550919000.0,209.83872377295435,364.2207039999994,1,1.0118220078186406,14700,15122.009766,14909.259766,14783.129883,14560.879883,14604.849609,14681.146980670605,14978.882791767273,-297.73581109666884,-235.88626487644927,-61.849546220219565
2023-10-23,1,14514.110352,14746.370117,14419.05957,14604.849609,14604.849609,4669060000,-90.73925700000109,327.31054700000095,0.006251795997093097,-0.022196007858413157,0,-141.0107429999989,0,-55.00800789999994,4583240000.0,209.83512011104185,141.0107429999989,0,1.0187247449402606,14600,15172.730469,15122.009766,14909.259766,14783.129883,14560.879883,14669.408923490511,14951.176630080809,-281.76770659029717,-245.06255321921887,-36.705153371078296
2023-10-20,5,14752.589844,14781.219727,14552.120117,14560.879883,14560.879883,4622840000,191.70996100000048,229.0996099999993,-0.012995003794399565,-0.015499371109511098,0,-43.969726000001174,0,-53.861035100000116,4553649000.0,209.86384494705806,43.969726000001174,0,1.0151946274295625,14500,14995.120117,15172.730469,15122.009766,14909.259766,14783.129883,14652.712148030432,14922.265759926675,-269.5536118962427,-249.96076495462364,-19.592846941619086
2023-10-19,4,14981.129883,15023.910156,14749.299805,14783.129883,14783.129883,5014790000,198.0,274.61035099999935,-0.013216626619376864,-0.01827822105887195,1,222.25,0,-13.641992200000095,4558833000.0,221.24673927629786,222.25,1,1.1000161664180286,14700,15184.099609,14995.120117,15172.730469,15122.009766,14909.259766,14672.776414948828,14911.959398672847,-239.1829837240184,-247.80520870850262,8.622224984484205
2023-10-18,3,15022.280273,15103.870117,14865.80957,14909.259766,14909.259766,4617140000,113.02050700000109,238.06054700000095,-0.007523525386697536,-0.0157615594649516,1,126.12988299999961,0,24.43496099999993,4566035000.0,207.5006933395192,126.12988299999961,1,1.0111924240615764,14900,15241.120117,15184.099609,14995.120117,15172.730469,15122.009766,14709.1584689567,14911.759425882265,-202.60095692556388,-238.7643583519149,36.163401426351015
2023-10-17,2,15009.259766,15187.05957,14932.769531,15122.009766,15122.009766,4417640000,-112.75,254.29003899999952,0.007512029357730819,-0.01674386261724524,1,212.75,0,71.2229492999999,4576236000.0,189.42126275363913,212.75,1,0.9653435705676019,15100,15131.519531,15241.120117,15184.099609,14995.120117,15172.730469,14772.674053117207,14927.333525150245,-154.65947203303767,-221.94338108813946,67.28390905510179
2023-10-16,1,15054.480469,15209.5,15047.269531,15172.730469,15172.730469,4308690000,-118.25,162.23046900000008,0.007854804438020889,-0.010666390676879587,1,50.72070300000087,0,83.72207030000008,4592173000.0,182.7607571140624,50.72070300000087,1,0.9382682229088495,15100,15047.150391,15131.519531,15241.120117,15184.099609,14995.120117,14834.221194022251,14945.511076546523,-111.28988252427189,-199.81268137536597,88.52279885109408
