Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,first_diff_close,first_diff_open,first_diff_high,first_diff_low,first_diff_volume,first_diff_avg_volume_10_day,first_diff_close_bracket,first_diff_short_ema,first_diff_long_ema,first_diff_close_lag_1,first_diff_close_lag_2,first_diff_close_lag_3,first_diff_close_lag_4,first_diff_close_lag_5
2018-08-23,4,7420.310059,7465.870117,7405.399902,7413.839844,7413.839844,1888600000,6.47021500000028,60.47021500000028,-0.0008719601941906239,-0.00809955357545102,0,,1,,,,,,,7400,7413.839844,7413.839844,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2018-08-24,5,7443.709961,7489.540039,7442.990234,7485.399902,7485.399902,1892990000,-41.689941000000545,46.54980500000056,0.005600693903769439,-0.006215308918518829,1,71.56005800000003,1,,,,71.56005800000003,1,,7400,7424.849083692308,7419.140589037038,5.708494655270442,1.1416989310540886,4.5667957242163535,7413.839844,,,,,71.56005800000003,23.3999019999992,23.669922000000042,37.59033199999976,4390000.0,,0.0,11.009239692308256,5.300745037037814,,,,,
2018-08-27,1,7527.370117,7560.759766,7512.02002,7559.129883,7559.129883,2333790000,-31.759765999999217,48.739746000000196,0.004219237994990066,-0.006446408497090211,1,73.7299809999995,1,,,,73.7299809999995,1,,7500,7445.507668201184,7429.510166367628,15.99750183355627,4.112859511554525,11.884642322001746,7485.399902,7413.839844,,,,73.7299809999995,83.66015600000082,71.2197269999997,69.02978600000006,440800000.0,,100.0,20.65858450887572,10.369577330589891,71.56005800000003,,,,
2018-08-28,2,7580.850098,7588.720215,7556.709961,7570.25,7570.25,1980270000,10.600097999999889,32.010254000000714,-0.0013982729988021312,-0.0042181360088528064,1,11.120117000000391,1,,,,11.120117000000391,1,,7500,7464.6987961702325,7439.935339229285,24.763456940947435,8.242978997433108,16.52047794351433,7559.129883,7485.399902,7413.839844,,,11.120117000000391,53.4799809999995,27.960449000000153,44.689940999999635,-353520000.0,,0.0,19.191127969048466,10.425172861657302,73.7299809999995,71.56005800000003,,,
2018-08-29,3,7585.129883,7661.950195,7583.52002,7660.180176,7660.180176,1909880000,-75.05029300000024,78.43017500000042,0.009894397875533418,-0.010236320127894072,1,89.93017599999985,0,,,,89.93017599999985,1,,7600,7494.772854605581,7456.249771582671,38.523083022910214,14.29899980252853,24.224083220381686,7570.25,7559.129883,7485.399902,7413.839844,,89.93017599999985,4.27978499999972,73.22998000000007,26.810059000000365,-70390000.0,,100.0,30.07405843534889,16.31443235338611,11.120117000000391,73.7299809999995,71.56005800000003,,
2018-08-30,4,7645.109863,7691.100098,7619.72998,7642.669922,7642.669922,2022720000,2.439940999999635,71.37011799999982,-0.0003191505476995439,-0.00927957211460022,0,-17.510253999999804,1,,,,17.510253999999804,0,,7600,7517.5262495893385,7470.058671613584,47.467577975754466,20.93271543717372,26.534862538580747,7660.180176,7570.25,7559.129883,7485.399902,7413.839844,-17.510253999999804,59.97998000000007,29.14990299999954,36.20996000000014,112840000.0,,0.0,22.75339498375706,13.80890003091281,89.93017599999985,11.120117000000391,73.7299809999995,71.56005800000003,
2018-08-31,5,7634.439941,7676.459961,7628.540039,7654.549805,7654.549805,1906900000,-20.109864000000016,47.91992199999913,0.0026340981336433066,-0.006242450588351233,1,11.879882999999609,1,,,,11.879882999999609,1,,7600,7538.606796575594,7483.724681494059,54.88211508153472,27.722595366045923,27.1595197154888,7642.669922,7660.180176,7570.25,7559.129883,7485.399902,11.879882999999609,-10.669922000000042,-14.640137000000323,8.810059000000365,-115820000.0,,0.0,21.080546986255285,13.66600988047503,-17.510253999999804,89.93017599999985,11.120117000000391,73.7299809999995,71.56005800000003
2018-09-04,2,7629.339844,7643.450195,7581.350098,7622.319824,7622.319824,2238710000,7.020019999999931,62.10009700000046,-0.0009201346569350609,-0.008124615901942233,0,-32.2299809999995,1,,,,32.2299809999995,0,,7600,7551.485723871657,7493.990988346351,57.49473552530617,33.67702339789797,23.8177121274082,7654.549805,7642.669922,7660.180176,7570.25,7559.129883,-32.2299809999995,-5.1000969999995505,-33.00976599999922,-47.189941000000545,331810000.0,,0.0,12.878927296063011,10.266306852291564,11.879882999999609,-17.510253999999804,89.93017599999985,11.120117000000391,73.7299809999995
2018-09-05,3,7600.950195,7607.180176,7498.379883,7523.259766,7523.259766,2602810000,77.69042900000022,108.80029300000024,-0.010221146962797618,-0.014302315770468513,0,-99.06005800000003,0,,,,99.06005800000003,0,,7500,7547.143268814479,7496.159045950324,50.98422286415462,37.1384632911493,13.845759573005317,7622.319824,7654.549805,7642.669922,7660.180176,7570.25,-99.06005800000003,-28.389648999999736,-36.2700190000005,-82.97021500000028,364100000.0,,-100.0,-4.3424550571780856,2.168057603973466,-32.2299809999995,11.879882999999609,-17.510253999999804,89.93017599999985,11.120117000000391
2018-09-06,4,7527.220215,7532.299805,7405.319824,7453.169922,7453.169922,2375380000,74.05029300000024,126.9799809999995,-0.009837667941803432,-0.016858062515741765,0,-70.08984400000008,0,,2115205000.0,,70.08984400000008,0,1.1230022621920808,7400,7532.68583084302,7492.974666398449,39.711164444571295,37.6530035218337,2.058160922737592,7523.259766,7622.319824,7654.549805,7642.669922,7660.180176,-70.08984400000008,-73.72998000000007,-74.8803710000002,-93.06005899999946,-227430000.0,,-100.0,-14.457437971458603,-3.1843795518752813,-99.06005800000003,-32.2299809999995,11.879882999999609,-17.510253999999804,89.93017599999985
2018-09-07,5,7402.189941,7489.399902,7400.990234,7430.259766,7430.259766,2158930000,-28.069825000000492,88.40966800000024,0.0037920973689859676,-0.011804639778467558,0,-22.910155999999915,1,1.6419922000000042,2142238000.0,62.78530705172124,22.910155999999915,0,1.0077918513255764,7400,7516.927974713325,7488.329118220786,28.5988564925392,35.8421741159748,-7.243317623435601,7453.169922,7523.259766,7622.319824,7654.549805,7642.669922,-22.910155999999915,-125.03027400000065,-42.89990299999954,-4.32959000000028,-216450000.0,27033000.0,0.0,-15.757856129695028,-4.645548177662931,-70.08984400000008,-99.06005800000003,-32.2299809999995,11.879882999999609,-17.510253999999804
2018-09-10,1,7466.759766,7473.75,7410.740234,7447.680176,7447.680176,2055430000,19.07959000000028,63.00976600000013,-0.002555270371343601,-0.008430809968222128,1,17.42040999999972,1,-3.7719726000000264,2158482000.0,58.257346154523795,17.42040999999972,1,0.9522571881535264,7400,7506.274467218967,7485.31808546369,20.956381755277107,32.865015643835264,-11.908633888558157,7430.259766,7453.169922,7523.259766,7622.319824,7654.549805,17.42040999999972,64.56982500000049,-15.649902000000111,9.75,-103500000.0,16244000.0,0.0,-10.653507494357655,-3.0110327570955633,-22.910155999999915,-70.08984400000008,-99.06005800000003,-32.2299809999995,11.879882999999609
2018-09-11,2,7415.089844,7519.450195,7401.720215,7507.870117,7507.870117,2345080000,-92.7802730000003,117.72998000000007,0.012512359924414735,-0.015656727147190058,1,60.189941000000545,0,-5.125976599999921,2159611000.0,56.383119755186556,60.189941000000545,1,1.085880744263666,7500,7506.519951800665,7486.988606318231,19.531345482433608,30.198281611554933,-10.666936129121325,7447.680176,7430.259766,7453.169922,7523.259766,7622.319824,60.189941000000545,-51.66992200000004,45.70019500000035,-9.020018999999593,289650000.0,1129000.0,100.0,0.24548458169738296,1.6705208545408823,17.42040999999972,-22.910155999999915,-70.08984400000008,-99.06005800000003,-32.2299809999995
