Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,14947.580078,15188.860352,14947.580078,15148.059570,15148.059570,4127850000
2023-08-24,15278.929688,15279.240234,14814.830078,14816.440430,14816.440430,4383820000
2023-08-25,14858.929688,15001.290039,14715.360352,14941.830078,14941.830078,3970060000
2023-08-28,15035.480469,15086.230469,14948.919922,15052.459961,15052.459961,3666680000
2023-08-29,15043.019531,15391.559570,15034.540039,15376.549805,15376.549805,4748180000
2023-08-30,15386.669922,15484.830078,15341.940430,15462.429688,15462.429688,4364600000
2023-08-31,15475.429688,15575.009766,15466.410156,15501.070313,15501.070313,4568610000
2023-09-01,15600.950195,15618.849609,15429.360352,15490.860352,15490.860352,4033960000
2023-09-05,15460.519531,15556.849609,15419.959961,15508.240234,15508.240234,4379790000
2023-09-06,15467.320313,15487.000000,15289.480469,15371.440430,15371.440430,4215320000
2023-09-07,15174.219727,15288.200195,15138.730469,15258.519531,15258.519531,4320830000
2023-09-08,15265.570313,15374.219727,15244.059570,15280.230469,15280.230469,4160360000
2023-09-11,15409.769531,15482.839844,15328.349609,15461.870117,15461.870117,4538870000
2023-09-12,15390.589844,15447.849609,15278.879883,15289.740234,15289.740234,4595490000
2023-09-13,15293.269531,15414.610352,15256.599609,15348.530273,15348.530273,4840310000
2023-09-14,15433.009766,15512.820313,15337.179688,15473.889648,15473.889648,4649010000
2023-09-15,15425.950195,15435.450195,15173.709961,15202.400391,15202.400391,8162210000
2023-09-18,15161.169922,15268.959961,15155.459961,15225.370117,15225.370117,4855880000
2023-09-19,15152.530273,15219.919922,15069.410156,15191.230469,15191.230469,4453460000
2023-09-20,15225.339844,15245.190430,14967.599609,14969.919922,14969.919922,4782440000
2023-09-21,14813.490234,14849.250000,14691.690430,14694.240234,14694.240234,5014890000
2023-09-22,14756.620117,14855.919922,14686.839844,14701.099609,14701.099609,4302700000
2023-09-25,14662.690430,14771.120117,14615.450195,14768.900391,14768.900391,4100290000
2023-09-26,14668.450195,14678.480469,14505.679688,14545.830078,14545.830078,4693540000
2023-09-27,14600.139648,14657.209961,14432.599609,14580.160156,14580.160156,4841410000
2023-09-28,14530.959961,14787.580078,14510.169922,14702.769531,14702.769531,4648390000
2023-09-29,14853.349609,14901.849609,14664.780273,14715.240234,14715.240234,5138500000
2023-10-02,14717.900391,14892.179688,14701.519531,14837.570313,14837.570313,4554700000
2023-10-03,14744.049805,14819.870117,14504.139648,14565.620117,14565.620117,4684310000
2023-10-04,14613.230469,14803.040039,14592.559570,14776.250000,14776.250000,4308070000
2023-10-05,14769.549805,14784.690430,14584.389648,14723.219727,14723.219727,4167470000
2023-10-06,14622.230469,15021.379883,14575.950195,14973.240234,14973.240234,4309420000
2023-10-09,14871.570313,15070.639648,14816.320313,15047.150391,15047.150391,3835930000
2023-10-10,15074.040039,15241.940430,15050.540039,15131.519531,15131.519531,4301350000
2023-10-11,15194.530273,15248.219727,15119.620117,15241.120117,15241.120117,4160440000
2023-10-12,15264.110352,15333.980469,15090.690430,15184.099609,15184.099609,4858620000
2023-10-13,15225.730469,15232.370117,14943.419922,14995.120117,14995.120117,4251550000
2023-10-16,15054.480469,15209.500000,15047.269531,15172.730469,15172.730469,4308690000
2023-10-17,15009.259766,15187.059570,14932.769531,15122.009766,15122.009766,4417640000
2023-10-18,15022.280273,15103.870117,14865.809570,14909.259766,14909.259766,4617140000
2023-10-19,14981.129883,15023.910156,14749.299805,14783.129883,14783.129883,5014790000
2023-10-20,14752.589844,14781.219727,14552.120117,14560.879883,14560.879883,4622840000
2023-10-23,14514.110352,14746.370117,14419.059570,14604.849609,14604.849609,4669060000
2023-10-24,14678.410156,14774.160156,14610.330078,14745.860352,14745.860352,4604720000
2023-10-25,14642.080078,14643.690430,14362.240234,14381.639648,14381.639648,4599850000
2023-10-26,14314.009766,14372.509766,14058.330078,14109.570313,14109.570313,4894900000
2023-10-27,14245.750000,14321.040039,14130.370117,14180.419922,14180.419922,4172100000
2023-10-30,14283.980469,14388.200195,14225.860352,14335.509766,14335.509766,4149320000
2023-10-31,14340.860352,14420.440430,14232.400391,14409.780273,14409.780273,4315630000
2023-11-01,14453.679688,14677.860352,14441.889648,14664.910156,14664.910156,4545120000
2023-11-02,14856.950195,14930.759766,14792.809570,14919.549805,14919.549805,4962950000
2023-11-03,14985.120117,15149.780273,14965.290039,15099.490234,15099.490234,4918750000
2023-11-06,15137.160156,15180.190430,15064.910156,15154.929688,15154.929688,4345850000
2023-11-07,15201.769531,15335.440430,15153.309570,15296.019531,15296.019531,4354460000
2023-11-08,15313.900391,15343.190430,15220.879883,15313.240234,15313.240234,4685550000
2023-11-09,15351.099609,15382.106445,15200.027344,15201.018555,15201.018555,584328335
