Date,DayOfWeek,Open,High,Low,Close,Adj Close,Volume,OC Difference,HL Difference,OC %Change,HL %Change,Close_Status,Close_Difference,Same Bracket,Avg_OC_Spread_10_Day,Avg_Volume_10_Day,Volatility_10_Day,Price_Change_Magnitude,Price_Direction,MA_Volume_Ratio,Close_Bracket,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_4,Close_Lag_5,ShortEMA,LongEMA,MACD,SignalLine,MACD_Histogram,RSI
2023-10-04,3,14613.230469,14803.040039,14592.55957,14776.25,14776.25,4308070000,-163.01953099999992,210.48046900000008,0.01115561212463075,-0.01421873266879435,1,53.03027300000031,0,-13.300976599999922,4291918000.0,151.47116763156853,53.03027300000031,1,1.0037633524219243,14700,14723.219727,14973.240234,15047.150391,15131.519531,15241.120117,14920.473832696387,14922.833456605913,-2.359623909525908,-8.040544192660454,5.680920283134546,50.84822266990018
2023-10-03,2,14744.049805,14819.870117,14504.139648,14565.620117,14565.620117,4684310000,178.42968800000017,315.7304690000001,-0.012101809907037285,-0.02130453684866124,0,-210.6298829999996,0,-55.638964899999884,4318585000.0,140.00247313662135,210.6298829999996,0,1.0846863034998733,14500,14776.25,14723.219727,14973.240234,15047.150391,15131.519531,14865.88095335848,14896.373209227699,-30.492255869217843,-12.530886527971932,-17.961369341245913,48.946005446205184
2023-10-02,1,14717.900391,14892.179688,14701.519531,14837.570313,14837.570313,4554700000,-119.66992200000095,190.66015700000025,0.008130909900244952,-0.012802703230450052,1,271.9501959999998,0,-33.51601559999999,4343186000.0,172.40593663579673,271.9501959999998,1,1.0487001938208496,14800,14565.620117,14776.25,14723.219727,14973.240234,15047.150391,14861.525470226406,14892.017439136758,-30.491968910351716,-16.123103004447888,-14.368865905903828,56.622646746460454
2023-09-29,5,14853.349609,14901.849609,14664.780273,14715.240234,14715.240234,5138500000,138.109375,237.06933600000048,-0.00929819728449105,-0.015908718865128124,0,-122.33007899999939,0,-27.987988299999962,4431881000.0,168.10493815939446,122.33007899999939,0,1.159439975937982,14700,14837.570313,14565.620117,14776.25,14723.219727,14973.240234,14839.020049268498,14878.92283134885,-39.902782080351244,-20.879038819628562,-19.023743260722682,48.29341673255073
2023-09-28,4,14530.959961,14787.580078,14510.169922,14702.769531,14702.769531,4648390000,-171.80956999999944,277.41015600000173,0.011823690276562826,-0.01875967227475674,0,-12.470703000000867,0,-48.13300780000009,4410858000.0,150.34815619124436,12.470703000000867,0,1.0538516542586498,14700,14715.240234,14837.570313,14565.620117,14776.25,14723.219727,14818.058431073345,14865.874438730416,-47.81600765707117,-26.266432587117087,-21.54957506995408,44.49474639837531
2023-09-27,3,14600.139648,14657.209961,14432.599609,14580.160156,14580.160156,4841410000,19.97949200000039,224.6103519999997,-0.0013684452670791598,-0.015324222863535719,0,-122.609375,0,-66.09599610000005,4478955000.0,147.08421266234234,122.609375,0,1.080924010176481,14500,14702.769531,14715.240234,14837.570313,14565.620117,14776.25,14781.458696446676,14844.710417787423,-63.25172134074637,-33.663490337842944,-29.588231002903427,34.82428183915604
2023-09-26,2,14668.450195,14678.480469,14505.679688,14545.830078,14545.830078,4693540000,122.62011699999857,172.80078099999992,-0.008359445978948466,-0.011772388931193796,0,-34.33007799999905,0,-58.5689452999999,4518174000.0,146.53545259440395,34.33007799999905,0,1.0388134675645515,14500,14580.160156,14702.769531,14715.240234,14837.570313,14565.620117,14745.208139762572,14822.571133358724,-77.36299359615259,-42.40339098950487,-34.95960260664772,32.27954954065257
2023-09-25,1,14662.69043,14771.120117,14615.450195,14768.900391,14768.900391,4100290000,-106.20996099999866,155.66992200000095,0.007243552027988812,-0.010538802796738569,1,223.07031299999835,0,-27.825,4544610000.0,170.76848194966664,223.07031299999835,1,0.9022314346005488,14700,14545.830078,14580.160156,14702.769531,14715.240234,14837.570313,14748.853101491408,14818.595522813634,-69.74242132222571,-47.87119705604904,-21.871224266176668,43.76572034824104
2023-09-22,5,14756.620117,14855.919922,14686.839844,14701.099609,14701.099609,4302700000,55.52050799999961,169.08007799999905,-0.003762413585211059,-0.011381326695872255,0,-67.80078199999843,1,-27.2140625,4543938000.0,170.59613088326162,67.80078199999843,0,0.9469099270280537,14700,14768.900391,14545.830078,14580.160156,14702.769531,14715.240234,14741.506410338883,14809.892121790403,-68.38571145151946,-51.97409993514312,-16.411611516376333,35.73658220797917
2023-09-21,4,14813.490234,14849.25,14691.69043,14694.240234,14694.240234,5014890000,119.25,157.55956999999944,-0.008050094752572002,-0.010610607943162076,0,-6.859375,0,-2.8979492999998913,4628680000.0,151.57917873433848,6.859375,0,1.0834384748999715,14600,14701.099609,14768.900391,14545.830078,14580.160156,14702.769531,14734.234690902133,14801.325315287411,-67.09062438527872,-54.99740482517025,-12.093219560108466,33.35708890692055
